State,Rank,Index
Mississippi,1,85.7
Oklahoma,2,88.1
Arkansas,3,88.4
Missouri,4,88.8
Michigan,5,89.3
Alabama,6,89.5
Tennessee,7,89.5
Kansas,8,89.7
Indiana,9,90.1
Wyoming,10,90.5
Georgia,11,91.2
Texas,12,91.3
Iowa,13,91.8
Kentucky,14,91.8
New Mexico,15,92.8
Ohio,16,92.8
Nebraska,17,93.3
Louisiana,18,93.6
North Carolina,19,94
Idaho,20,94.2
West Virginia,21,94.7
Illinois,22,95.7
Wisconsin,23,95.8
Arizona,24,97.7
Utah,25,98.2
South Carolina,26,98.3
South Dakota,27,98.5
Pennsylvania,28,98.6
North Dakota,29,98.7
Florida,30,98.9
Minnesota,31,101.5
Virginia,32,102
Montana,33,104
Colorado,34,105.5
Delaware,35,106
Nevada,36,108.3
New Hampshire,37,109.3
Washington,38,109.5
Maine,39,117.2
Vermont,40,118.7
New Jersey,41,122.5
Rhode Island,42,122.5
Connecticut,43,128.8
Alaska,44,130.6
Oregon,45,131.2
Maryland,46,131.3
Massachusetts,47,133.8
New York,48,135.7
California,49,138.7
District of Columbia,50,162.9
Hawaii,51,190.1
Federal (FLSA),52,100
